date,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,leagueName,description,teamOrder,possessionPct,foulsCommitted,offsides,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,country,teamRank,wins,ties,losses,points,gf,ga,gd,season,day_type
2024-03-16 20:00:00,False,True,1,2,USL Championship,Full Time,Away,41.4,16,4,12,4,0.3,1,1,0.6,2,18,0.1,79,24,0.3,4,12,19,0.6,10,26,USA,4,14,9,11,51,49,50,-1,Spring,Weekend
2024-03-16 23:00:00,False,True,0,1,USL Championship,Full Time,Home,44.0,13,2,10,3,0.3,0,0,0.8,2,6,0.3,45,10,0.2,2,6,11,0.5,2,15,USA,12,3,2,29,11,26,89,-63,Spring,Weekend
2024-03-16 23:00:00,False,True,0,1,USL Championship,Full Time,Away,56.0,13,4,15,7,0.5,0,0,0.9,6,22,0.3,72,49,0.7,5,11,13,0.8,8,4,USA,5,13,10,11,49,46,34,12,Spring,Weekend
2024-03-16 23:00:00,False,True,0,2,USL Championship,Full Time,Home,68.1,18,1,14,2,0.1,0,0,0.8,11,36,0.3,78,41,0.5,4,15,17,0.9,9,10,USA,7,12,12,10,48,41,28,13,Spring,Weekend
2024-03-16 23:00:00,False,True,0,2,USL Championship,Full Time,Away,31.9,13,1,2,2,1.0,0,0,0.7,1,7,0.1,76,31,0.4,0,12,16,0.8,11,31,USA,6,13,7,14,46,38,45,-7,Spring,Weekend
2024-03-16 23:30:00,False,False,2,2,USL Championship,Full Time,Home,39.7,15,3,14,7,0.5,0,0,0.6,4,21,0.2,59,21,0.4,4,10,14,0.7,10,13,USA,6,14,8,12,50,55,46,9,Spring,Weekend
2024-03-16 23:30:00,False,False,2,2,USL Championship,Full Time,Away,60.3,16,3,7,4,0.6,0,0,0.7,2,17,0.1,56,23,0.4,2,10,13,0.8,5,17,USA,9,10,9,15,39,36,49,-13,Spring,Weekend
2024-03-17 00:00:00,False,True,1,3,USL Championship,Full Time,Home,71.2,18,2,21,4,0.2,0,0,0.8,5,26,0.2,59,36,0.6,10,5,10,0.5,7,19,USA,4,13,11,10,50,49,46,3,Spring,Weekend
2024-03-17 00:00:00,False,True,1,3,USL Championship,Full Time,Away,28.8,22,1,12,5,0.4,0,0,0.6,6,17,0.4,58,13,0.2,1,16,20,0.8,11,20,USA,10,9,11,14,38,33,48,-15,Spring,Weekend
2024-03-17 00:00:00,False,True,1,2,USL Championship,Full Time,Home,43.7,13,2,11,2,0.2,0,0,0.8,5,17,0.3,46,24,0.5,3,7,12,0.6,13,20,USA,2,15,7,12,52,48,40,8,Spring,Weekend
2024-03-17 00:00:00,False,True,1,2,USL Championship,Full Time,Away,56.3,17,1,14,6,0.4,0,0,0.8,3,21,0.1,53,27,0.5,2,17,21,0.8,5,15,USA,3,15,11,8,56,46,32,14,Spring,Weekend
2024-03-17 02:00:00,True,False,1,0,USL Championship,Full Time,Home,51.7,11,3,11,5,0.5,0,0,0.8,5,20,0.3,90,40,0.4,1,10,17,0.6,9,19,USA,11,8,10,16,34,29,44,-15,Spring,Weekend
2024-03-17 02:00:00,True,False,1,0,USL Championship,Full Time,Away,48.3,13,3,9,3,0.3,0,0,0.8,1,15,0.1,63,21,0.3,1,10,13,0.8,12,25,USA,8,11,9,14,42,33,39,-6,Spring,Weekend
2024-03-17 02:00:00,False,False,1,1,USL Championship,Full Time,Home,33.2,17,1,6,2,0.3,0,0,0.6,2,5,0.4,65,17,0.3,0,16,20,0.8,14,38,USA,7,13,5,16,44,37,57,-20,Spring,Weekend
2024-03-17 02:00:00,False,False,1,1,USL Championship,Full Time,Away,66.8,15,2,20,7,0.4,0,0,0.8,9,27,0.3,69,33,0.5,5,12,15,0.8,5,12,USA,2,18,10,6,64,68,35,33,Spring,Weekend
2024-03-23 18:00:00,True,False,1,0,USL Championship,Full Time,Home,48.4,14,3,27,11,0.4,0,0,0.8,8,21,0.4,67,27,0.4,5,12,23,0.5,13,14,USA,10,12,8,14,44,39,52,-13,Spring,Weekend
2024-03-23 18:00:00,True,False,1,0,USL Championship,Full Time,Away,51.6,4,1,18,3,0.2,0,0,0.8,1,14,0.1,57,18,0.3,7,13,19,0.7,7,19,USA,9,13,6,15,45,44,51,-7,Spring,Weekend
2024-03-23 20:00:00,True,False,3,1,USL Championship,Full Time,Home,49.3,11,0,17,8,0.5,1,1,0.7,3,13,0.2,90,31,0.3,4,8,14,0.6,8,11,USA,1,24,4,6,76,86,43,43,Spring,Weekend
2024-03-23 20:00:00,True,False,3,1,USL Championship,Full Time,Away,50.7,8,4,5,5,1.0,0,0,0.7,2,11,0.2,105,32,0.3,0,15,22,0.7,7,16,USA,7,12,12,10,48,41,28,13,Spring,Weekend
2024-03-23 20:00:00,True,False,2,1,USL Championship,Full Time,Home,56.7,14,1,11,6,0.5,0,0,0.8,2,16,0.1,76,35,0.5,2,15,17,0.9,13,8,USA,3,15,11,8,56,46,32,14,Spring,Weekend
2024-03-23 20:00:00,True,False,2,1,USL Championship,Full Time,Away,43.3,12,1,9,4,0.4,0,0,0.7,4,15,0.3,66,27,0.4,1,19,25,0.8,9,26,USA,11,11,9,14,42,44,39,5,Spring,Weekend
2024-03-23 23:00:00,False,False,1,1,USL Championship,Full Time,Home,46.2,12,0,16,3,0.2,0,0,0.8,5,13,0.4,61,21,0.3,7,11,15,0.7,3,12,USA,8,13,9,12,48,54,43,11,Spring,Weekend
2024-03-23 23:00:00,False,False,1,1,USL Championship,Full Time,Away,53.8,17,4,3,1,0.3,0,0,0.8,1,15,0.1,64,25,0.4,1,10,13,0.8,9,18,USA,6,14,8,12,50,55,46,9,Spring,Weekend
2024-03-23 23:00:00,False,False,1,1,USL Championship,Full Time,Home,42.6,18,2,7,1,0.1,0,0,0.7,2,10,0.2,67,28,0.4,3,7,13,0.5,3,22,USA,4,14,9,11,51,49,50,-1,Spring,Weekend
2024-03-23 23:00:00,False,False,1,1,USL Championship,Full Time,Away,57.4,10,2,14,3,0.2,0,0,0.8,4,18,0.2,63,31,0.5,3,10,11,0.9,16,9,USA,5,13,10,11,49,46,34,12,Spring,Weekend
2024-03-23 23:30:00,True,False,4,0,USL Championship,Full Time,Home,53.7,22,0,18,10,0.6,0,0,0.8,6,24,0.3,50,26,0.5,1,10,14,0.7,10,11,USA,2,18,10,6,64,68,35,33,Spring,Weekend
2024-03-23 23:30:00,True,False,4,0,USL Championship,Full Time,Away,46.3,19,2,7,2,0.3,0,0,0.8,6,13,0.5,52,23,0.4,3,10,15,0.7,12,21,USA,1,18,5,11,59,46,44,2,Spring,Weekend
2024-03-24 00:00:00,True,False,1,0,USL Championship,Full Time,Home,46.9,10,3,9,3,0.3,0,0,0.7,5,17,0.3,69,27,0.4,2,10,14,0.7,21,8,USA,4,13,11,10,50,49,46,3,Spring,Weekend
2024-03-24 00:00:00,True,False,1,0,USL Championship,Full Time,Away,53.1,16,0,10,2,0.2,0,0,0.7,1,13,0.1,77,24,0.3,3,19,34,0.6,11,13,USA,12,8,8,18,32,27,46,-19,Spring,Weekend
2024-03-24 00:30:00,True,False,2,0,USL Championship,Full Time,Home,58.4,14,3,18,5,0.3,0,1,0.8,4,24,0.2,41,21,0.5,7,10,16,0.6,10,23,USA,9,10,9,15,39,36,49,-13,Spring,Weekend
2024-03-24 00:30:00,True,False,2,0,USL Championship,Full Time,Away,41.6,11,2,11,2,0.2,0,0,0.6,2,16,0.1,71,21,0.3,5,14,21,0.7,6,38,USA,2,15,7,12,52,48,40,8,Spring,Weekend
2024-03-24 02:00:00,True,False,1,0,USL Championship,Full Time,Home,52.9,17,2,11,6,0.5,0,0,0.8,5,19,0.3,60,30,0.5,2,9,12,0.8,2,14,USA,8,11,9,14,42,33,39,-6,Spring,Weekend
2024-03-24 02:00:00,True,False,1,0,USL Championship,Full Time,Away,47.1,15,3,7,0,0.0,0,0,0.8,3,14,0.2,37,10,0.3,3,9,15,0.6,8,13,USA,7,13,5,16,44,37,57,-20,Spring,Weekend
2024-03-24 02:00:00,False,False,2,2,USL Championship,Full Time,Home,56.5,11,0,16,5,0.3,0,0,0.9,6,19,0.3,56,31,0.6,1,10,24,0.4,7,13,USA,6,13,7,14,46,38,45,-7,Spring,Weekend
2024-03-24 02:00:00,False,False,2,2,USL Championship,Full Time,Away,43.5,12,3,5,4,0.8,0,0,0.8,1,10,0.1,52,19,0.4,0,6,15,0.4,7,17,USA,12,3,2,29,11,26,89,-63,Spring,Weekend
2024-03-24 22:00:00,False,False,2,2,USL Championship,Full Time,Home,45.5,13,7,12,4,0.3,0,0,0.7,4,19,0.2,80,31,0.4,4,12,22,0.5,14,17,USA,11,8,10,16,34,29,44,-15,Spring,Weekend
2024-03-24 22:00:00,False,False,2,2,USL Championship,Full Time,Away,54.5,13,1,9,3,0.3,0,0,0.7,1,16,0.1,72,32,0.4,2,18,26,0.7,13,19,USA,5,12,15,7,51,56,41,15,Spring,Weekend
2024-03-29 23:00:00,True,False,2,1,USL Championship,Full Time,Home,47.4,17,4,15,4,0.3,1,1,0.8,3,17,0.2,62,26,0.4,4,17,18,0.9,6,28,USA,8,13,9,12,48,54,43,11,Spring,Weekend
2024-03-29 23:00:00,True,False,2,1,USL Championship,Full Time,Away,52.6,16,5,14,4,0.3,0,0,0.8,6,20,0.3,52,25,0.5,3,12,16,0.8,8,18,USA,10,12,8,14,44,39,52,-13,Spring,Weekend
2024-03-30 20:00:00,True,False,5,0,USL Championship,Full Time,Home,49.8,16,0,18,6,0.3,0,0,0.9,6,19,0.3,48,21,0.4,6,6,8,0.8,6,16,USA,1,24,4,6,76,86,43,43,Spring,Weekend
2024-03-30 20:00:00,True,False,5,0,USL Championship,Full Time,Away,50.2,15,1,13,3,0.2,0,0,0.8,3,14,0.2,68,32,0.5,4,6,8,0.8,9,14,USA,9,13,6,15,45,44,51,-7,Spring,Weekend
2024-03-30 23:00:00,False,True,1,2,USL Championship,Full Time,Home,39.0,15,2,6,2,0.3,0,0,0.7,3,15,0.2,61,15,0.2,1,13,17,0.8,6,16,USA,12,3,2,29,11,26,89,-63,Spring,Weekend
2024-03-30 23:00:00,False,True,1,2,USL Championship,Full Time,Away,61.0,16,1,19,7,0.4,0,0,0.8,4,14,0.3,71,41,0.6,7,8,14,0.6,16,12,USA,2,18,10,6,64,68,35,33,Spring,Weekend
2024-03-30 23:00:00,False,True,1,2,USL Championship,Full Time,Home,45.7,18,1,7,4,0.6,0,0,0.7,7,19,0.4,68,22,0.3,1,14,21,0.7,4,10,USA,4,14,9,11,51,49,50,-1,Spring,Weekend
2024-03-30 23:00:00,False,True,1,2,USL Championship,Full Time,Away,54.3,10,1,16,5,0.3,0,0,0.8,7,22,0.3,69,43,0.6,7,11,13,0.8,7,31,USA,3,15,11,8,56,46,32,14,Spring,Weekend
2024-03-30 23:30:00,True,False,4,1,USL Championship,Full Time,Home,47.8,13,7,16,6,0.4,0,0,0.7,5,20,0.3,64,20,0.3,3,16,18,0.9,6,17,USA,6,14,8,12,50,55,46,9,Spring,Weekend
2024-03-30 23:30:00,True,False,4,1,USL Championship,Full Time,Away,52.2,20,2,9,4,0.4,0,0,0.7,3,12,0.3,64,21,0.3,3,10,13,0.8,1,25,USA,5,12,15,7,51,56,41,15,Spring,Weekend
2024-03-31 00:30:00,True,False,2,1,USL Championship,Full Time,Home,51.9,18,1,15,7,0.5,0,0,0.7,11,26,0.4,67,26,0.4,4,9,12,0.8,7,19,USA,9,10,9,15,39,36,49,-13,Spring,Weekend
2024-03-31 00:30:00,True,False,2,1,USL Championship,Full Time,Away,48.1,8,0,12,3,0.3,0,0,0.7,4,28,0.1,80,25,0.3,5,8,15,0.5,13,23,USA,11,8,10,16,34,29,44,-15,Spring,Weekend
2024-03-31 02:00:00,True,False,1,0,USL Championship,Full Time,Home,56.7,17,2,14,4,0.3,0,0,0.8,6,26,0.2,66,29,0.4,4,7,17,0.4,7,16,USA,5,13,10,11,49,46,34,12,Spring,Weekend
2024-03-31 02:00:00,True,False,1,0,USL Championship,Full Time,Away,43.3,24,0,5,1,0.2,0,0,0.7,3,12,0.3,66,12,0.2,3,8,11,0.7,9,21,USA,3,14,9,11,51,52,41,11,Spring,Weekend
2024-03-31 02:00:00,False,True,0,3,USL Championship,Full Time,Home,56.7,17,2,13,4,0.3,0,0,0.8,6,17,0.4,62,29,0.5,4,9,13,0.7,16,16,USA,7,13,5,16,44,37,57,-20,Spring,Weekend
